epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9068.89,1.31314,1.41514,1.08313,0,0,0,0,0,1061.46,0,0.00036991,0.00036991,0.00036991
2,14606.6,1.21396,0.9211,1.03865,0,0,0,0,0,1674.61,0,0.000703601,0.000703601,0.000703601
